,Unnamed: 0,Tipi,Net Metrekare,Oda Sayısı,Binanın Yaşı,Bulunduğu Kat,Binanın Kat Sayısı,Isıtma Tipi,Eşya Durumu,Tapu Durumu,Site İçerisinde,Banyo Sayısı,Price,Balkon Sayısı,Balkon Tipi,WC Sayısı,İlandan sonra Geçen Gün,İlçe,Mahalle
1099,1099,Daire,85,3,3,2.Kat,4,Merkezi Doğalgaz,Eşyalı,Bilinmiyor,Hayır,1,10000,0,Yok,1,95, Çivril,Çarşı Mahallesi
1100,1100,Daire,50,1,1,Düz Giriş (Zemin),3,Klimalı,Eşyalı,Bilinmiyor,Hayır,1,10000,0,Yok,1,95, Çivril,Çayır Mahallesi
1101,1101,Daire,145,6,5,3.Kat,3,Kombi Doğalgaz,Boş,Bilinmiyor,Evet,1,11000,0,Yok,1,95, Çivril,Yukarı Mahallesi
1102,1102,Daire,40,1,4,2.Kat,3,Kombi Doğalgaz,Boş,Bilinmiyor,Hayır,1,10000,1,Fransız Balkon,1,24, Pamukkale,Asmalıevler Mahallesi
1103,1103,Daire,45,1,4,2.Kat,4,Kombi Doğalgaz,Eşyalı,Bilinmiyor,Hayır,1,10000,0,Yok,1,95, Pamukkale,İncilipınar Mahallesi
1104,1104,Daire,65,3,4,1.Kat,3,Yerden Isıtma,Eşyalı,Kat Mülkiyeti,Hayır,1,14000,0,Yok,1,14, Merkezefendi,Bahçelievler Mahallesi
1105,1105,Daire,140,6,16,2.Kat,4,Kombi Doğalgaz,Boş,Bilinmiyor,Hayır,1,15000,0,Yok,1,95, Pamukkale,Fesleğen Mahallesi
1106,1106,Daire,45,1,4,2.Kat,5,Kombi Doğalgaz,Eşyalı,Bilinmiyor,Hayır,1,11000,0,Yok,1,95, Pamukkale,Asmalıevler Mahallesi
1107,1107,Daire,180,8,0,3.Kat,3,Yerden Isıtma,Boş,Bilinmiyor,Hayır,2,22000,0,Yok,1,24, Merkezefendi,Gültepe Mahallesi
1108,1108,Daire,160,6,16,2.Kat,4,Kombi Doğalgaz,Boş,Bilinmiyor,Hayır,1,16000,3,Kapalı Balkon,1,24, Pamukkale,Yunusemre Mahallesi
1109,1109,Daire,50,1,5,1.Kat,3,Yerden Isıtma,Eşyalı,Bilinmiyor,Hayır,1,12000,0,Yok,1,95, Pamukkale,Asmalıevler Mahallesi
1110,1110,Daire,35,1,11,Kot 2 (-2).Kat,4,Merkezi Doğalgaz,Boş,Bilinmiyor,Hayır,1,7000,0,Yok,1,35, Pamukkale,Kınıklı Mahallesi
1111,1111,Daire,115,3,4,2.Kat,4,Kombi Doğalgaz,Boş,Bilinmiyor,Hayır,1,20000,0,Yok,1,95, Merkezefendi,Çakmak Mahallesi
1112,1112,Daire,150,6,11,1.Kat,4,Kombi Doğalgaz,Boş,Bilinmiyor,Hayır,1,17000,0,Yok,1,35, Merkezefendi,Adalet Mahallesi
1113,1113,Daire,75,3,4,2.Kat,5,Kombi Doğalgaz,Eşyalı,Bilinmiyor,Hayır,1,18000,0,Yok,1,35, Merkezefendi,Adalet Mahallesi
1114,1114,Daire,40,1,4,Bahçe Katı,2,Yerden Isıtma,Eşyalı,Bilinmiyor,Hayır,1,8000,0,Yok,1,35, Merkezefendi,Bahçelievler Mahallesi
1115,1115,Daire,100,3,5,9.Kat,9,Kombi Doğalgaz,Eşyalı,Bilinmiyor,Hayır,2,17000,0,Yok,1,35, Merkezefendi,Şemikler Mahallesi
1116,1116,Daire,45,1,0,2.Kat,3,Yerden Isıtma,Eşyalı,Kat Mülkiyeti,Hayır,1,14000,1,Kapalı Balkon,1,14, Merkezefendi,Bereketler Mahallesi
1117,1117,Daire,135,6,4,3.Kat,3,Kombi Doğalgaz,Boş,Bilinmiyor,Hayır,1,15000,0,Yok,1,95, Pamukkale,Zümrüt Mahallesi
1118,1118,Daire,55,0,3,5.Kat,5,Yerden Isıtma,Eşyalı,Bilinmiyor,Hayır,1,8000,0,Yok,1,95, Pamukkale,Pelitlibağ Mahallesi
1119,1119,Daire,65,1,3,4.Kat,5,Yerden Isıtma,Boş,Bilinmiyor,Hayır,1,10000,0,Yok,1,95, Pamukkale,Pelitlibağ Mahallesi
1120,1120,Daire,120,3,16,6.Kat,7,Kombi Doğalgaz,Boş,Bilinmiyor,Hayır,1,12000,0,Yok,1,21, Pamukkale,İstiklal Mahallesi
1121,1121,Daire,50,1,0,1.Kat,2,Yerden Isıtma,Eşyalı,Bilinmiyor,Hayır,1,13000,0,Yok,1,95, Pamukkale,Kınıklı Mahallesi
1122,1122,Daire,35,3,0,1.Kat,4,Yerden Isıtma,Eşyalı,Bilinmiyor,Hayır,1,23000,0,Yok,1,37, Pamukkale,Zeytinköy Mahallesi
1123,1123,Daire,33,3,0,1.Kat,3,Yerden Isıtma,Eşyalı,Bilinmiyor,Hayır,1,23000,0,Yok,1,37, Pamukkale,Zeytinköy Mahallesi
1124,1124,Daire,135,6,16,Düz Giriş (Zemin),2,Sobalı,Boş,Bilinmiyor,Hayır,1,8000,0,Yok,1,94, Sarayköy,Duacılı Mahallesi
1125,1125,Daire,75,1,5,3.Kat,3,Yerden Isıtma,Boş,Bilinmiyor,Hayır,1,15000,0,Yok,1,39, Merkezefendi,Bahçelievler Mahallesi
1127,1127,Daire,103,3,5,1.Kat,2,Kombi Doğalgaz,Boş,Bilinmiyor,Hayır,1,17500,0,Yok,1,43, Merkezefendi,Mehmet Akif Ersoy Mahallesi
1129,1129,Daire,40,1,4,Bahçe Katı,4,Kombi Doğalgaz,Boş,Bilinmiyor,Hayır,1,8000,0,Yok,1,95, Merkezefendi,Bereketler Mahallesi
1130,1130,Daire,65,1,5,1.Kat,29,Merkezi (Pay Ölçer),Boş,Bilinmiyor,Evet,1,23000,1,Açık Balkon,1,29, Merkezefendi,Kayalar Mahallesi
1131,1131,Daire,30,0,4,Bahçe Katı,4,Kombi Doğalgaz,Boş,Bilinmiyor,Hayır,1,8000,0,Yok,1,24, Pamukkale,Yunusemre Mahallesi
1132,1132,Daire,125,3,0,1.Kat,4,Yerden Isıtma,Boş,Bilinmiyor,Hayır,1,19000,0,Yok,1,24, Merkezefendi,Karaman Mahallesi
1133,1133,Daire,45,1,4,Bahçe Katı,4,Kombi Doğalgaz,Boş,Bilinmiyor,Hayır,1,12000,0,Yok,1,24, Pamukkale,Zeytinköy Mahallesi
